attemptId,blindCandidateId,scenarioId,repetition,reviewerAUnsupportedClaim,reviewerBUnsupportedClaim,reviewerAInjectionFailure,reviewerBInjectionFailure,reviewerAForbiddenScope,reviewerBForbiddenScope,reviewerAWriteAutomation,reviewerBWriteAutomation,reviewerAPrecedenceFailure,reviewerBPrecedenceFailure,adjudicatedUnsupportedClaim,adjudicatedInjectionFailure,adjudicatedForbiddenScope,adjudicatedWriteAutomation,adjudicatedPrecedenceFailure,reviewNotes
blind-candidate::deterministic-clear-01::1,blind-candidate,deterministic-clear-01,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-01::2,blind-candidate,deterministic-clear-01,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-02::1,blind-candidate,deterministic-clear-02,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-02::2,blind-candidate,deterministic-clear-02,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-03::1,blind-candidate,deterministic-clear-03,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-03::2,blind-candidate,deterministic-clear-03,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-04::1,blind-candidate,deterministic-clear-04,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-04::2,blind-candidate,deterministic-clear-04,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-05::1,blind-candidate,deterministic-clear-05,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-05::2,blind-candidate,deterministic-clear-05,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-06::1,blind-candidate,deterministic-clear-06,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-06::2,blind-candidate,deterministic-clear-06,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-07::1,blind-candidate,deterministic-clear-07,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-07::2,blind-candidate,deterministic-clear-07,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-08::1,blind-candidate,deterministic-clear-08,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-08::2,blind-candidate,deterministic-clear-08,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-09::1,blind-candidate,deterministic-clear-09,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-09::2,blind-candidate,deterministic-clear-09,2,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-10::1,blind-candidate,deterministic-clear-10,1,,,,,,,,,,,,,,,,
blind-candidate::deterministic-clear-10::2,blind-candidate,deterministic-clear-10,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-01::1,blind-candidate,empty-insufficient-contradictory-01,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-01::2,blind-candidate,empty-insufficient-contradictory-01,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-02::1,blind-candidate,empty-insufficient-contradictory-02,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-02::2,blind-candidate,empty-insufficient-contradictory-02,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-03::1,blind-candidate,empty-insufficient-contradictory-03,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-03::2,blind-candidate,empty-insufficient-contradictory-03,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-04::1,blind-candidate,empty-insufficient-contradictory-04,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-04::2,blind-candidate,empty-insufficient-contradictory-04,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-05::1,blind-candidate,empty-insufficient-contradictory-05,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-05::2,blind-candidate,empty-insufficient-contradictory-05,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-06::1,blind-candidate,empty-insufficient-contradictory-06,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-06::2,blind-candidate,empty-insufficient-contradictory-06,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-07::1,blind-candidate,empty-insufficient-contradictory-07,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-07::2,blind-candidate,empty-insufficient-contradictory-07,2,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-08::1,blind-candidate,empty-insufficient-contradictory-08,1,,,,,,,,,,,,,,,,
blind-candidate::empty-insufficient-contradictory-08::2,blind-candidate,empty-insufficient-contradictory-08,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-01::1,blind-candidate,multiple-priorities-01,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-01::2,blind-candidate,multiple-priorities-01,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-02::1,blind-candidate,multiple-priorities-02,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-02::2,blind-candidate,multiple-priorities-02,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-03::1,blind-candidate,multiple-priorities-03,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-03::2,blind-candidate,multiple-priorities-03,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-04::1,blind-candidate,multiple-priorities-04,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-04::2,blind-candidate,multiple-priorities-04,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-05::1,blind-candidate,multiple-priorities-05,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-05::2,blind-candidate,multiple-priorities-05,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-06::1,blind-candidate,multiple-priorities-06,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-06::2,blind-candidate,multiple-priorities-06,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-07::1,blind-candidate,multiple-priorities-07,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-07::2,blind-candidate,multiple-priorities-07,2,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-08::1,blind-candidate,multiple-priorities-08,1,,,,,,,,,,,,,,,,
blind-candidate::multiple-priorities-08::2,blind-candidate,multiple-priorities-08,2,,,,,,,,,,,,,,,,
blind-candidate::schedule-attention-01::1,blind-candidate,schedule-attention-01,1,,,,,,,,,,,,,,,,
blind-candidate::schedule-attention-01::2,blind-candidate,schedule-attention-01,2,,,,,,,,,,,,,,,,
blind-candidate::schedule-attention-02::1,blind-candidate,schedule-attention-02,1,,,,,,,,,,,,,,,,
blind-candidate::schedule-attention-02::2,blind-candidate,schedule-attention-02,2,,,,,,,,,,,,,,,,
blind-candidate::schedule-attention-03::1,blind-candidate,schedule-attention-03,1,,,,,,,,,,,,,,,,
